"code","campaign","no2","lat","lon"
"198903","facade",18.3,51.02602,4.054216
"198912","facade",24.8,50.890114175831606,3.36349132920944
"198915","facade",20.2,50.99535,3.272379
"198930","facade",17.2,51.14815,4.948055999999999
"198933","facade",25.7,51.06787,5.085996
"198945","facade",18.5,50.74733,4.357019
"198954","facade",16.0,50.9546,5.565664
"198960","facade",31.2,51.13278,4.691897
"198993","facade",24.3,51.20371,3.188452
"198996","facade",16.2,50.8341,4.86618
"199008","facade",23.5,51.07638,3.754843
"199017","facade",23.3,50.86493,4.709586
"199035","facade",17.5,51.08027,3.390239
"199041","facade",22.1,51.12688,4.477512
"199059","facade",20.6,50.83938,3.278573
"199092","facade",23.9,51.24711,3.6127239999999996
"199098","facade",29.9,50.97419,3.0141400000000003
"199101","facade",26.4,51.25087,4.455754
"199110","facade",32.2,51.16667,4.1325650000000005
"199131","facade",32.5,51.199329999999996,3.79025
"199143","facade",26.7,51.30825,3.1299490000000003
"199149","facade",21.4,50.83591,5.557604
"199152","facade",20.7,50.99478,4.704061
"199182","facade",27.0,51.10499,2.6492169999999997
"199185","facade",18.8,50.8957,5.46584
"199188","facade",33.3,50.93635,4.043237
"199224","facade",18.7,51.32282,4.936095
"199248","facade",26.3,50.91277,4.722295
"199254","facade",21.2,50.940090000000005,4.342181
"199266","facade",18.5,50.86418,3.268707
"199269","facade",23.8,50.87343,3.829686
"199278","facade",19.6,50.816520000000004,4.537438
"199281","facade",18.2,51.08025,3.6893480000000003
"199284","facade",18.9,51.12877,2.695193
"199293","facade",23.4,51.0314,3.709374
"199305","facade",19.6,51.136359999999996,3.1358580000000003
"199323","facade",22.6,50.96043,4.331469
"199329","facade",36.6,50.97692,4.635536
"199335","facade",40.3,51.21985,4.397089
"199347","facade",29.0,51.17202,4.371759
"199353","facade",15.1,50.75512,5.049641
"199356","facade",18.4,51.25507,4.524274
"199362","facade",36.9,50.784259999999996,5.469719
"199365","facade",26.7,51.34838,4.758243
"199389","facade",17.1,50.74714,4.096061
"199398","facade",25.4,51.331590000000006,3.297426
"199428","facade",16.5,51.00306,4.856631
"199443","facade",19.3,50.742020000000004,4.019743
"199455","facade",22.2,51.20827,4.071271
"199470","facade",19.4,51.165279999999996,4.887663
"199476","facade",38.8,51.136,4.44676
"199479","facade",20.6,51.073,3.866935
"199482","facade",45.9,51.22359,4.421668
"199485","facade",21.3,50.93103,3.3346519999999997
"199500","facade",19.3,50.83873,4.663526
"199506","facade",31.8,51.07281,2.6644930000000002
"199509","facade",21.2,50.86011,3.3012589999999995
"199512","facade",40.2,51.03803,4.4734110000000005
"199515","facade",28.6,51.32058,4.947544000000001
"199530","facade",19.2,50.79957,4.8913839999999995
"199536","facade",29.5,51.12715,4.089303
"199539","facade",16.0,50.84061,3.9217190000000004
"199557","facade",20.1,50.90964,5.32674
"199560","facade",20.5,50.8781,3.361236
"199572","facade",49.1,51.02066,4.792822
"199575","facade",21.6,50.74814,3.409498
"199584","facade",17.2,50.991690000000006,4.690112
"199596","facade",19.0,50.90439,4.214914
"199605","facade",19.2,51.21308,3.283499
"199626","facade",18.9,50.75223,5.082828
"199629","facade",36.9,51.217009999999995,4.395237
"199638","facade",21.9,50.93828,3.119318
"199644","facade",17.3,51.10859,3.248481
"199659","facade",20.3,51.0368,4.086646
"199671","facade",24.1,51.19086,4.561731
"199674","facade",23.5,51.129329999999996,2.7466470000000003
"199680","facade",21.1,51.23167,3.6730099999999997
"199683","facade",32.0,51.14138,4.9446699999999995
"199689","facade",21.7,51.10897,3.990854
"199692","facade",27.9,51.21501,3.218534
"199704","facade",19.2,51.176,4.972073
"199707","facade",21.4,50.8497,3.340032
"199713","facade",24.0,51.114290000000004,4.136495
"199722","facade",16.5,50.95363,5.322511
"199725","facade",22.6,51.24655584457721,2.997065276296
"199731","facade",14.8,50.90937,5.06692
"199743","facade",19.5,50.849340000000005,4.694155
"199746","facade",18.7,51.1372,3.229083
"199755","facade",23.1,50.77053,3.8783269999999996
"199761","facade",25.0,50.85115,3.6138019999999997
"199770","facade",18.4,51.05461,5.252434
"199776","facade",23.3,50.730129999999996,4.245521
"199782","facade",26.6,51.033770000000004,4.495015
"199785","facade",27.3,50.89181,3.427393
"199794","facade",16.8,51.13957,4.038161
"199797","facade",21.0,50.983509999999995,4.457085
"199806","facade",28.3,51.171820000000004,4.46508
"199809","facade",27.3,51.281079999999996,3.233821
"199833","facade",24.5,51.18622,4.340986
"199839","facade",16.1,51.0534,4.664129
"199848","facade",19.2,51.09876,3.9695150000000003
"199851","facade",29.7,51.221509999999995,4.456358
"199860","facade",24.5,51.16465,4.445583
"199884","facade",19.6,50.99795,5.344729
"199890","facade",42.0,51.21118,4.5135
"199893","facade",20.2,50.8320529338371,4.18928573784192
"199923","facade",17.8,50.94833,4.522453
"199929","facade",14.2,51.02138,4.979778
"199932","facade",22.5,50.728359999999995,4.22016
"199938","facade",31.3,51.21522,4.3964669999999995
"199947","facade",27.4,51.386293146098794,4.47530053615768
"199968","facade",36.2,51.25902,4.423333
"199971","facade",21.9,51.30915,4.400096
"200001","facade",26.2,51.02776,3.7601980000000004
"200004","facade",23.1,51.17767,2.934524
"200007","facade",15.2,51.0214,4.890264
"200013","facade",35.2,50.79508,4.284537
"200016","facade",34.9,51.195,4.461056
